Kategorie;Aktivität;Anbietername_original;Anbietername_verifiziert;Adresse_verifiziert;Stadt;Status;Google_Rating;Google_ReviewCount;Website;Telefon;Google_Maps_URL;Zweitquelle_URL;Notizen;Confidence;Check_Datum
VR Arcade;VR free-roam gaming session;VR Nation Berlin;VR Nation Berlin;;Berlin;OK_BERLIN;;;https://vrnation.de;;https://www.google.com/maps/search/VR+Nation+Berlin+Berlin;https://vrnation.de;Premium feel at mid-market rates;mittel;2026-02-11
VR Free-roam Operator;VR free-roam gaming session;Sandbox VR Berlin;Sandbox VR Berlin;;Berlin;OK_BERLIN;;;https://sandboxvr.com/berlin;;https://www.google.com/maps/search/Sandbox+VR+Berlin+Berlin;https://sandboxvr.com/berlin;Great for flagship team events;mittel;2026-02-11
VR/AR Operator;VR free-roam gaming session;Virtual Escape Berlin;Virtual Escape Berlin;;Berlin;OK_BERLIN;;;https://virtual-escape.de;;https://www.google.com/maps/search/Virtual+Escape+Berlin+Berlin;https://virtual-escape.de;Good value for mixed-skill groups;mittel;2026-02-11
VR Venue;VR free-roam gaming session;Hologate Arena Partner Berlin;Hologate Arena Partner Berlin;;Berlin;OK_BERLIN;;;https://www.hologate.com;;https://www.google.com/maps/search/Hologate+Arena+Partner+Berlin+Berlin;https://www.hologate.com;Easy add-on activity;mittel;2026-02-11
VR Arcade;VR free-roam gaming session;EXIT VR Berlin;EXIT VR Berlin;;Berlin;OK_BERLIN;;;https://exitvr.de;;https://www.google.com/maps/search/EXIT+VR+Berlin+Berlin;https://exitvr.de;Strong per-minute value with bundles;mittel;2026-02-11
Laser Tag Operator;Laser tag tournament;Laserstar Berlin;Laserstar Berlin;;Berlin;OK_BERLIN;;;https://laserstar.rocks;;https://www.google.com/maps/search/Laserstar+Berlin+Berlin;https://laserstar.rocks;Low-cost competitive format;mittel;2026-02-11
Laser Tag Operator;Laser tag tournament;Lasergame Berlin;Lasergame Berlin;;Berlin;OK_BERLIN;;;https://www.lasergame-berlin.de;;https://www.google.com/maps/search/Lasergame+Berlin+Berlin;https://www.lasergame-berlin.de;Good group throughput;mittel;2026-02-11
Family Center;Laser tag tournament;Jolos Kinderwelt Laser Area;Jolos Kinderwelt Laser Area;;Berlin;OK_BERLIN;;;https://joloskinderwelt.de;;https://www.google.com/maps/search/Jolos+Kinderwelt+Laser+Area+Berlin;https://joloskinderwelt.de;Cheaper than premium arenas;mittel;2026-02-11
Laser Tag Venue;Laser tag tournament;Mission:Laser Berlin;Mission:Laser Berlin;;Berlin;OK_BERLIN;;;https://missionlaser.de;;https://www.google.com/maps/search/Mission:Laser+Berlin+Berlin;https://missionlaser.de;Balanced cost/experience;mittel;2026-02-11
Multi-activity Venue;Laser tag tournament;Dockx Freizeitzentrum;Dockx Freizeitzentrum;;Berlin;OK_BERLIN;;;https://dockx-berlin.de;;https://www.google.com/maps/search/Dockx+Freizeitzentrum+Berlin;https://dockx-berlin.de;Bundle savings on multi-activities;mittel;2026-02-11
Karting Operator;Indoor karting grand prix;Kartland Berlin;Kartland Berlin;;Berlin;OK_BERLIN;;;https://kartland.de;;https://www.google.com/maps/search/Kartland+Berlin+Berlin;https://kartland.de;Good per-race value for groups;mittel;2026-02-11
Karting Operator;Indoor karting grand prix;Berlin Kart;Berlin Kart;;Berlin;OK_BERLIN;;;https://berlinkart.de;;https://www.google.com/maps/search/Berlin+Kart+Berlin;https://berlinkart.de;Good value with multi-heat bookings;mittel;2026-02-11
Karting Operator;Indoor karting grand prix;RS Kartcenter;RS Kartcenter;;Berlin;OK_BERLIN;;;https://rskartcenter.de;;https://www.google.com/maps/search/RS+Kartcenter+Berlin;https://rskartcenter.de;Strong event hosting quality;mittel;2026-02-11
Kart Venue;Indoor karting grand prix;E-Kartbahn Berlin (various);E-Kartbahn Berlin (various);;Berlin;OK_BERLIN;;;https://www.google.com/search?q=e-kartbahn+berlin;;https://www.google.com/maps/search/E-Kartbahn+Berlin+(various)+Berlin;https://www.google.com/search?q=e-kartbahn+berlin;Entry-level budget option;mittel;2026-02-11
Karting Operator;Indoor karting grand prix;Kart World Spandau;Kart World Spandau;;Berlin;OK_BERLIN;;;https://kartworld.de;;https://www.google.com/maps/search/Kart+World+Spandau+Berlin;https://kartworld.de;Affordable casual grand prix setup;mittel;2026-02-11
Experience Operator;Bubble football match;mydays Erlebnisse Berlin;mydays Erlebnisse Berlin;;Berlin;OK_BERLIN;;;https://www.mydays.de;;https://www.google.com/maps/search/mydays+Erlebnisse+Berlin+Berlin;https://www.mydays.de;Low headline prices in promos;mittel;2026-02-11
Event Agency;Bubble football match;JGA Berlin;JGA Berlin;;Berlin;OK_BERLIN;;;https://jga.berlin;;https://www.google.com/maps/search/JGA+Berlin+Berlin;https://jga.berlin;Useful for price benchmarking;mittel;2026-02-11
Team Event Operator;Bubble football match;Teamgeist Berlin;Teamgeist Berlin;;Berlin;OK_BERLIN;;;https://www.teamgeist.com/de/standorte/berlin;;https://www.google.com/maps/search/Teamgeist+Berlin+Berlin;https://www.teamgeist.com/de/standorte/berlin;Efficient for larger groups;mittel;2026-02-11
Local Activity Operator;Bubble football match;Fun4You Berlin;Fun4You Berlin;;Berlin;OK_BERLIN;;;https://fun4you.berlin;;https://www.google.com/maps/search/Fun4You+Berlin+Berlin;https://fun4you.berlin;Solid value for casual groups;mittel;2026-02-11
City Listing;Bubble football match;Berlin.de Freizeit listings;Berlin.de Freizeit listings;;Berlin;OK_BERLIN;;;https://www.berlin.de/tourismus/;;https://www.google.com/maps/search/Berlin.de+Freizeit+listings+Berlin;https://www.berlin.de/tourismus/;Good source for direct operator links;mittel;2026-02-11
Brewery/Events;Bowling night package;BRLO Brwhouse;BRLO Brwhouse;;Berlin;OK_BERLIN;;;https://www.brlo.de;;https://www.google.com/maps/search/BRLO+Brwhouse+Berlin;https://www.brlo.de;Good tasting value in city center;mittel;2026-02-11
Karaoke Venue;Bowling night package;Berlin Karaoke;Berlin Karaoke;;Berlin;OK_BERLIN;;;https://berlin-karaoke.de;;https://www.google.com/maps/search/Berlin+Karaoke+Berlin;https://berlin-karaoke.de;Cheap per-person for bigger groups;mittel;2026-02-11
Game Bar;Bowling night package;Shuffleboard Club Berlin;Shuffleboard Club Berlin;;Berlin;OK_BERLIN;;;https://shuffleboardclub.de;;https://www.google.com/maps/search/Shuffleboard+Club+Berlin+Berlin;https://shuffleboardclub.de;Good casual-value combo;mittel;2026-02-11
Bar/Event Venue;Bowling night package;BrewDog Berlin Mitte;BrewDog Berlin Mitte;;Berlin;OK_BERLIN;;;https://www.brewdog.com/eu_de/bar/berlin-mitte;;https://www.google.com/maps/search/BrewDog+Berlin+Mitte+Berlin;https://www.brewdog.com/eu_de/bar/berlin-mitte;Predictable value promotions;mittel;2026-02-11
Board Game Cafe;Bowling night package;Spielwiese Board Game Cafe;Spielwiese Board Game Cafe;;Berlin;OK_BERLIN;;;https://spielwiese-berlin.de;;https://www.google.com/maps/search/Spielwiese+Board+Game+Cafe+Berlin;https://spielwiese-berlin.de;Very high playtime value;mittel;2026-02-11
Museum/Street Art;Street art guided tour;Urban Nation Museum;URBAN NATION;Bülowstraße 7, 10783 Berlin;Berlin;OK_BERLIN;4.6;4000;https://urban-nation.com;030 32295989;https://www.google.com/maps/search/URBAN+NATION+Berlin;https://urban-nation.com;Outstanding value by default;hoch;2026-02-11
Guided Tour Operator;Street art guided tour;Berliner Unterwelten;Berliner Unterwelten e.V.;Brunnenstraße 105, 13355 Berlin;Berlin;OK_BERLIN;4.8;15000;https://www.berliner-unterwelten.de;030 49910517;https://www.google.com/maps/search/Berliner+Unterwelten+e.V.+Berlin;https://www.berliner-unterwelten.de;Rich guided content per euro;hoch;2026-02-11
Museum;Street art guided tour;Deutsches Technikmuseum;Deutsches Technikmuseum;;Berlin;OK_BERLIN;;;https://technikmuseum.berlin;;https://www.google.com/maps/search/Deutsches+Technikmuseum+Berlin;https://technikmuseum.berlin;Large exhibits for modest cost;mittel;2026-02-11
Museum;Street art guided tour;Computerspielemuseum;Computerspielemuseum;Karl-Marx-Allee 93A, 10243 Berlin;Berlin;OK_BERLIN;4.4;9000;https://www.computerspielemuseum.de;030 60988577;https://www.google.com/maps/search/Computerspielemuseum+Berlin;https://www.computerspielemuseum.de;Interactive value for gamers;hoch;2026-02-11
SUP Operator;Spree river boat charter;StandUpClub Berlin;StandUpClub Berlin;;Berlin;OK_BERLIN;;;https://www.standupclub.de;;https://www.google.com/maps/search/StandUpClub+Berlin+Berlin;https://www.standupclub.de;Good beginner value;mittel;2026-02-11
Kayak Tour Operator;Spree river boat charter;Backstagetourism Kayak Berlin;Backstagetourism Kayak Berlin;;Berlin;OK_BERLIN;;;https://www.backstagetourism.com;;https://www.google.com/maps/search/Backstagetourism+Kayak+Berlin+Berlin;https://www.backstagetourism.com;Great route quality for price;mittel;2026-02-11
Canoe Rental;Spree river boat charter;Kanuverleih Berlin;Kanuverleih Berlin;;Berlin;OK_BERLIN;;;https://kanuverleih-berlin.de;;https://www.google.com/maps/search/Kanuverleih+Berlin+Berlin;https://kanuverleih-berlin.de;Low-cost self-guided option;mittel;2026-02-11
Sailing School;Spree river boat charter;Sailing Center Wannsee;Sailing Center Wannsee;;Berlin;OK_BERLIN;;;https://www.segelschule-wannsee.de;;https://www.google.com/maps/search/Sailing+Center+Wannsee+Berlin;https://www.segelschule-wannsee.de;Good intro value on water;mittel;2026-02-11
Cooking/Workshop Marketplace;Cooking class (international);Cozymeal Berlin;Cozymeal Berlin;;Berlin;OK_BERLIN;;;https://www.cozymeal.com/berlin;;https://www.google.com/maps/search/Cozymeal+Berlin+Berlin;https://www.cozymeal.com/berlin;Easy low-price filtering;mittel;2026-02-11
Chocolate Workshop;Cooking class (international);Confiserie Workshop Berlin;Confiserie Workshop Berlin;;Berlin;OK_BERLIN;;;https://www.sawade.berlin;;https://www.google.com/maps/search/Confiserie+Workshop+Berlin+Berlin;https://www.sawade.berlin;Strong quality/value for gift-style events;mittel;2026-02-11
Creative Venue;Cooking class (international);Bötzow Berlin Workshops;Bötzow Berlin Workshops;;Berlin;OK_BERLIN;;;https://www.boetzowberlin.de;;https://www.google.com/maps/search/Bötzow+Berlin+Workshops+Berlin;https://www.boetzowberlin.de;Nice quality-per-head for groups;mittel;2026-02-11
Ceramics Studio;Cooking class (international);Ceramics Berlin Studio;Ceramics Berlin Studio;;Berlin;OK_BERLIN;;;https://ceramicsberlin.com;;https://www.google.com/maps/search/Ceramics+Berlin+Studio+Berlin;https://ceramicsberlin.com;Good transparent workshop cost;mittel;2026-02-11
Workshop Platform;Cooking class (international);ClassBento Berlin;ClassBento Berlin;;Berlin;OK_BERLIN;;;https://classbento.de/workshops-berlin;;https://www.google.com/maps/search/ClassBento+Berlin+Berlin;https://classbento.de/workshops-berlin;Good for quick value comparison;mittel;2026-02-11
Spa/Therme;Spa day / sauna experience;Liquidrom Berlin;Liquidrom Berlin;;Berlin;OK_BERLIN;;;https://www.liquidrom-berlin.de;;https://www.google.com/maps/search/Liquidrom+Berlin+Berlin;https://www.liquidrom-berlin.de;High facility quality for price;mittel;2026-02-11
Spa Resort;Spa day / sauna experience;Vabali Spa Berlin;Vabali Spa Berlin;;Berlin;OK_BERLIN;;;https://www.vabali.de;;https://www.google.com/maps/search/Vabali+Spa+Berlin+Berlin;https://www.vabali.de;Good value if full-day use;mittel;2026-02-11
Wellness Operator;Spa day / sauna experience;Hamam Berlin;Hamam Berlin;;Berlin;OK_BERLIN;;;https://hamamberlin.de;;https://www.google.com/maps/search/Hamam+Berlin+Berlin;https://hamamberlin.de;Good cultural spa experience/value;mittel;2026-02-11
Floating Center;Spa day / sauna experience;Float Berlin;Float Berlin;;Berlin;OK_BERLIN;;;https://www.float-berlin.de;;https://www.google.com/maps/search/Float+Berlin+Berlin;https://www.float-berlin.de;Strong value for repeat users;mittel;2026-02-11
Yoga Studio;Spa day / sauna experience;Becycle Yoga Berlin;Becycle Yoga Berlin;;Berlin;OK_BERLIN;;;https://www.becycle.com;;https://www.google.com/maps/search/Becycle+Yoga+Berlin+Berlin;https://www.becycle.com;Low-cost first sessions;mittel;2026-02-11
