Kategorie,Aktivität,Anbietername_original,Anbietername_verifiziert,Adresse_verifiziert,Stadt,Status,Google_Rating,Google_ReviewCount,Website,Telefon,Google_Maps_URL,Zweitquelle_URL,Notizen,Confidence,Check_Datum
Bowling alley,Bowling + drinks,"Orange Club Lounge, Hannover, Germany - Reviews, Ratings, Tips and Why You Should Go â€“ Wanderlog","Orange Club Lounge, Hannover, Germany",,Hannover,OK_HANNOVER,,,https://wanderlog.com/place/details/13383603/orange-club-lounge,,"https://www.google.com/maps/search/?api=1&query=Orange+Club+Lounge,+Hannover,+Germany+Hannover",https://wanderlog.com/place/details/13383603/orange-club-lounge,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
VR arcade,Virtual reality (VR) arcade,Zero Latency | Virtual Reality Hannover,Zero Latency,,Hannover,OK_HANNOVER,,,https://zerolatency-hannover.de/en/zero-latency-virtual-reality-hannover-en/,,https://www.google.com/maps/search/?api=1&query=Zero+Latency+Hannover,https://zerolatency-hannover.de/en/zero-latency-virtual-reality-hannover-en/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
VR arcade,Virtual reality (VR) arcade,"funXperience Hannover, 15-16 Heiligerstrasse, Hannover, Lower Saxony 30159, DE - MapQuest","funXperience Hannover, 15",,Hannover,OK_HANNOVER,,,https://www.mapquest.com/de/lower-saxony/funxperience-hannover-523704818,,"https://www.google.com/maps/search/?api=1&query=funXperience+Hannover,+15+Hannover",https://www.mapquest.com/de/lower-saxony/funxperience-hannover-523704818,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Pub/bar,Pub quiz night (reserved table),Team event - Pubquiz Night in Hanover | konfetti,Team event,,Hannover,OK_HANNOVER,,,https://gokonfetti.com/en-us/e/teamevent-pubquiz-night-in-hannover-xyervz/,,https://www.google.com/maps/search/?api=1&query=Team+event+Hannover,https://gokonfetti.com/en-us/e/teamevent-pubquiz-night-in-hannover-xyervz/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Pub/bar,Pub quiz night (reserved table),Highlights!,Highlights!,,Hannover,OK_HANNOVER,,,http://www.irishpub-hannover.de/,,https://www.google.com/maps/search/?api=1&query=Highlights!+Hannover,http://www.irishpub-hannover.de/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Brewpub/brewery taproom,Beer tasting flight,Hannover | Bier Bachelor,Hannover,,Hannover,OK_HANNOVER,,,https://www.bierbachelor.com/tickets/hannover/,,https://www.google.com/maps/search/?api=1&query=Hannover+Hannover,https://www.bierbachelor.com/tickets/hannover/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Brewpub/brewery taproom,Beer tasting flight,Untappd,Untappd,,Hannover,OK_HANNOVER,,,https://untappd.com/v/craft-bier-bar-hannover/3638026/activity,,https://www.google.com/maps/search/?api=1&query=Untappd+Hannover,https://untappd.com/v/craft-bier-bar-hannover/3638026/activity,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Spirits bar / retailer,Whisky/rum tasting,Whisky Tastings,Whisky Tastings,,Hannover,OK_HANNOVER,,,https://www.tasting.de/en/collections/whisy-tasting-en/hannover?srsltid=AfmBOopgwFxWcmJ-A7SOix5vNiuDiedCPdpRwEMvxpUFl4rYCBJF4TSj,,https://www.google.com/maps/search/?api=1&query=Whisky+Tastings+Hannover,https://www.tasting.de/en/collections/whisy-tasting-en/hannover?srsltid=AfmBOopgwFxWcmJ-A7SOix5vNiuDiedCPdpRwEMvxpUFl4rYCBJF4TSj,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Spirits bar / retailer,Whisky/rum tasting,Rum Tasting Hannover - Hanover,Rum Tasting Hannover,,Hannover,OK_HANNOVER,,,https://menuweb.menu/restaurants/hanover-6/rum-tasting-hannover,,https://www.google.com/maps/search/?api=1&query=Rum+Tasting+Hannover+Hannover,https://menuweb.menu/restaurants/hanover-6/rum-tasting-hannover,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Spirits bar / retailer,Whisky/rum tasting,No Menu Link - Events - Whisky Tasting Events - Germany - Hannover (DE) - Scotch Malt Whisky Society - EU Store,No Menu Link,,Hannover,OK_HANNOVER,,,https://smws.eu/events/whisky-tasting-events/germany/hannover-de/,,https://www.google.com/maps/search/?api=1&query=No+Menu+Link+Hannover,https://smws.eu/events/whisky-tasting-events/germany/hannover-de/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Gin bar / retailer,Gin tasting + botanicals,Hannover Gin Destille Hannover | HannoverKongress Congress centre,Hannover Gin Destille Hannover,,Hannover,OK_HANNOVER,,,https://welcome.visit-hannover.com/NachhaltigesEvent/congress/house/NDS00020140494596024?lang=en,,https://www.google.com/maps/search/?api=1&query=Hannover+Gin+Destille+Hannover+Hannover,https://welcome.visit-hannover.com/NachhaltigesEvent/congress/house/NDS00020140494596024?lang=en,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Gin bar / retailer,Gin tasting + botanicals,Company outing in Hanover,Company outing in Hanover,,Hannover,OK_HANNOVER,,,https://gokonfetti.com/en-us/t/company-outing-hannover/,,https://www.google.com/maps/search/?api=1&query=Company+outing+in+Hanover+Hannover,https://gokonfetti.com/en-us/t/company-outing-hannover/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Wine bar / sommelier,Wine tasting,Wine tastings in Hanover,Wine tastings in Hanover,,Hannover,OK_HANNOVER,,,https://gokonfetti.com/en-us/hannover/wine-tasting/,,https://www.google.com/maps/search/?api=1&query=Wine+tastings+in+Hanover+Hannover,https://gokonfetti.com/en-us/hannover/wine-tasting/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Wine bar / sommelier,Wine tasting,Weinkeller im Kastens Hotel Luisenhof Hannover | HannoverKongress Congress centre,Weinkeller im Kastens Hotel Luisenhof Hannover,,Hannover,OK_HANNOVER,,,https://welcome.visit-hannover.com/HybridEvent/congress/house/NDS00020140045950827?lang=en,,https://www.google.com/maps/search/?api=1&query=Weinkeller+im+Kastens+Hotel+Luisenhof+Hannover+Hannover,https://welcome.visit-hannover.com/HybridEvent/congress/house/NDS00020140045950827?lang=en,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Wine bar / sommelier,Wine tasting,"Wines, Champagne & Processo at the restaurant La Galeria in Hannover","Wines, Champagne & Processo at the restaurant La Galeria in Hannover",,Hannover,OK_HANNOVER,,,https://www.restaurant-galleria.de/wines-champagne-prosecco,,"https://www.google.com/maps/search/?api=1&query=Wines,+Champagne+&+Processo+at+the+restaurant+La+Galeria+in+Hannover+Hannover",https://www.restaurant-galleria.de/wines-champagne-prosecco,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Tour guide,"Private city guide: ""drinks & stories"" walking tour",theabroadguide.com,theabroadguide,,Hannover,OK_HANNOVER,,,https://theabroadguide.com/hannover-private-pub-crawl-with-insider-guide-free-shots/,,https://www.google.com/maps/search/?api=1&query=theabroadguide+Hannover,https://theabroadguide.com/hannover-private-pub-crawl-with-insider-guide-free-shots/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Tour guide,"Private city guide: ""drinks & stories"" walking tour",Hanover Private Walking Tour With A Professional Guide,Hanover Private Walking Tour With A Professional Guide,,Hannover,OK_HANNOVER,,,https://www.pelago.com/en-US/activity/pd7rcn5ud-hanover-private-walking-tour-with-a-professional-guide-hannover/,,https://www.google.com/maps/search/?api=1&query=Hanover+Private+Walking+Tour+With+A+Professional+Guide+Hannover,https://www.pelago.com/en-US/activity/pd7rcn5ud-hanover-private-walking-tour-with-a-professional-guide-hannover/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Tour guide,"Private city guide: ""drinks & stories"" walking tour","Hanover, the city with a heart and a biscuit","Hanover, the city with a heart and a biscuit",,Hannover,OK_HANNOVER,,,https://www.discover-hannover.de/en-gb,,"https://www.google.com/maps/search/?api=1&query=Hanover,+the+city+with+a+heart+and+a+biscuit+Hannover",https://www.discover-hannover.de/en-gb,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Tour guide,"Private city guide: ""drinks & stories"" walking tour",Tourist Information Hanover,Tourist Information Hanover,,Hannover,OK_HANNOVER,,,https://www.hannover-tourismus.de/en/tourist-information-hanover/,,https://www.google.com/maps/search/?api=1&query=Tourist+Information+Hanover+Hannover,https://www.hannover-tourismus.de/en/tourist-information-hanover/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Tour guide,"Private city guide: ""drinks & stories"" walking tour",Hannover: Private Guided Walking Tour,Hannover: Private Guided Walking Tour,,Hannover,OK_HANNOVER,,,https://www.world-tourism.org/hannover-private-guided-walking-tour/,,https://www.google.com/maps/search/?api=1&query=Hannover:+Private+Guided+Walking+Tour+Hannover,https://www.world-tourism.org/hannover-private-guided-walking-tour/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Bars/nightlife venues,Bar crawl (curated route + 2 shots),travel-buddies.com,travel,,Hannover,OK_HANNOVER,,,https://travel-buddies.com/hannover-private-pub-crawl-with-insider-guide-free-shots/,,https://www.google.com/maps/search/?api=1&query=travel+Hannover,https://travel-buddies.com/hannover-private-pub-crawl-with-insider-guide-free-shots/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Bars/nightlife venues,Bar crawl (curated route + 2 shots),Hannover: Private pub crawl with insider-guide & free shots,Hannover: Private pub crawl with insider,,Hannover,OK_HANNOVER,,,https://www.travelersuniverse.com/hannover-private-pub-crawl-with-insider-guide-free-shots/,,https://www.google.com/maps/search/?api=1&query=Hannover:+Private+pub+crawl+with+insider+Hannover,https://www.travelersuniverse.com/hannover-private-pub-crawl-with-insider-guide-free-shots/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Bars/nightlife venues,Bar crawl (curated route + 2 shots),Hannover Scavenger Hunt: Hannover Hoppinâ€˜ Hunt,Hannover Scavenger Hunt: Hannover Hoppinâ€˜ Hunt,,Hannover,OK_HANNOVER,,,https://www.letsroam.com/bar-crawl/hannover-germany,,https://www.google.com/maps/search/?api=1&query=Hannover+Scavenger+Hunt:+Hannover+Hoppinâ€˜+Hunt+Hannover,https://www.letsroam.com/bar-crawl/hannover-germany,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Nightclub,Club entry + reserved area (min spend),kulturkurier.reservix.de,kulturkurier.reservix,,Hannover,OK_HANNOVER,,,https://kulturkurier.reservix.de/hannover/venue/lux-club/v61596?_locale=en,,https://www.google.com/maps/search/?api=1&query=kulturkurier.reservix+Hannover,https://kulturkurier.reservix.de/hannover/venue/lux-club/v61596?_locale=en,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Nightclub,Club entry + reserved area (min spend),Best clubs and night venues in Hannover | Xceed,Best clubs and night venues in Hannover,,Hannover,OK_HANNOVER,,,https://xceed.me/en/hannover/clubs,,https://www.google.com/maps/search/?api=1&query=Best+clubs+and+night+venues+in+Hannover+Hannover,https://xceed.me/en/hannover/clubs,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Nightclub,Club entry + reserved area (min spend),www.reservix.de,www.reservix,,Hannover,OK_HANNOVER,,,https://www.reservix.de/hannover/venue/lux-club/v61596?_locale=en,,https://www.google.com/maps/search/?api=1&query=www.reservix+Hannover,https://www.reservix.de/hannover/venue/lux-club/v61596?_locale=en,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Nightclub,Club entry + reserved area (min spend),www.totalclub-hannover.com,www.totalclub,,Hannover,OK_HANNOVER,,,https://www.totalclub-hannover.com/,,https://www.google.com/maps/search/?api=1&query=www.totalclub+Hannover,https://www.totalclub-hannover.com/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Boat rental/charter,Boat rental on Maschsee (seasonal),Maschsee-Schifffahrt in Hannover â€“ event location â€“ Venue in Hannover,Maschsee,,Hannover,OK_HANNOVER,,,https://www.placces.de/en/exp/maschsee-schifffahrt-in-hannover,,https://www.google.com/maps/search/?api=1&query=Maschsee+Hannover,https://www.placces.de/en/exp/maschsee-schifffahrt-in-hannover,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Boat rental/charter,Boat rental on Maschsee (seasonal),KAYAKOMAT Hannover Steinhuder Meer Wunstorf,KAYAKOMAT Hannover Steinhuder Meer Wunstorf,,Hannover,OK_HANNOVER,,,https://www.kayakomat.com/en/location/67bdd74b04df46d58aa821d2,,https://www.google.com/maps/search/?api=1&query=KAYAKOMAT+Hannover+Steinhuder+Meer+Wunstorf+Hannover,https://www.kayakomat.com/en/location/67bdd74b04df46d58aa821d2,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Bouldering gym,Indoor climbing/bouldering gym,Beta Boulderhalle,Beta Boulderhalle,,Hannover,OK_HANNOVER,,,https://hansefit.de/en/studio-finden/hannover/climbingbouldering/beta-boulderhalle/,,https://www.google.com/maps/search/?api=1&query=Beta+Boulderhalle+Hannover,https://hansefit.de/en/studio-finden/hannover/climbingbouldering/beta-boulderhalle/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Bouldering gym,Indoor climbing/bouldering gym,KletterCAMPUSÂ â€“Â University Sports DepartmentÂ â€“Â Leibniz University Hannover,KletterCAMPUSÂ â€“Â University Sports DepartmentÂ â€“Â Leibniz University Hannover,,Hannover,OK_HANNOVER,,,https://www.hochschulsport-hannover.de/en/klettercampus,,https://www.google.com/maps/search/?api=1&query=KletterCAMPUSÂ â€“Â University+Sports+DepartmentÂ â€“Â Leibniz+University+Hannover+Hannover,https://www.hochschulsport-hannover.de/en/klettercampus,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Bouldering gym,Indoor climbing/bouldering gym,"Boulderhalle Beta, Hannover","Boulderhalle Beta, Hannover",,Hannover,OK_HANNOVER,,,https://gyms.redpoint-app.com/gym/Boulderhalle%20Beta/5cda773a-0448-409e-a8b3-ba2fc8a580e0,,"https://www.google.com/maps/search/?api=1&query=Boulderhalle+Beta,+Hannover+Hannover",https://gyms.redpoint-app.com/gym/Boulderhalle%20Beta/5cda773a-0448-409e-a8b3-ba2fc8a580e0,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Bouldering gym,Indoor climbing/bouldering gym,"urban apes Hannover in Hannover | All events, dates & tickets - Rausgegangen -",urban apes Hannover in Hannover,,Hannover,OK_HANNOVER,,,https://rausgegangen.de/en/locations/urban-apes-hannover/,,https://www.google.com/maps/search/?api=1&query=urban+apes+Hannover+in+Hannover+Hannover,https://rausgegangen.de/en/locations/urban-apes-hannover/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Trampoline park,Trampoline park,Trampolinpark JUMP/ONE - Hannover | Playlife,Trampolinpark JUMP/ONE,,Hannover,OK_HANNOVER,,,https://playlife-system.com/referenzen/trampolinpark-jump-one-hannover,,https://www.google.com/maps/search/?api=1&query=Trampolinpark+JUMP/ONE+Hannover,https://playlife-system.com/referenzen/trampolinpark-jump-one-hannover,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Trampoline park,Trampoline park,Jump/One Hannover | Kindaling.de,Jump/One Hannover,,Hannover,OK_HANNOVER,,,https://www.kindaling.de/indoorspielplaetze/jump-one-hannover/hannover-mitte,,https://www.google.com/maps/search/?api=1&query=Jump/One+Hannover+Hannover,https://www.kindaling.de/indoorspielplaetze/jump-one-hannover/hannover-mitte,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Paintball/airsoft field,Paintball / airsoft (outskirts likely),Log into Facebook,Log into Facebook,,Hannover,OK_HANNOVER,,,http://paintball-park-hannover.de/,,https://www.google.com/maps/search/?api=1&query=Log+into+Facebook+Hannover,http://paintball-park-hannover.de/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Paintball/airsoft field,Paintball / airsoft (outskirts likely),www.paintballshop-hannover.com,www.paintballshop,,Hannover,OK_HANNOVER,,,http://www.paintballshop-hannover.com/,,https://www.google.com/maps/search/?api=1&query=www.paintballshop+Hannover,http://www.paintballshop-hannover.com/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Paintball/airsoft field,Paintball / airsoft (outskirts likely),PaintballParcs Hannover,PaintballParcs Hannover,,Hannover,OK_HANNOVER,,,https://www.youtube.com/channel/UC-yXDRD4iU1pS5Yj6d10bqQ,,https://www.google.com/maps/search/?api=1&query=PaintballParcs+Hannover+Hannover,https://www.youtube.com/channel/UC-yXDRD4iU1pS5Yj6d10bqQ,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Karting track,Go-karting (indoor/outdoor),Hannover Go Karting Tracks and Racing Lines,Hannover Go Karting Tracks and Racing Lines,,Hannover,OK_HANNOVER,,,https://open-racer.com/cities/hannover-germany,,https://www.google.com/maps/search/?api=1&query=Hannover+Go+Karting+Tracks+and+Racing+Lines+Hannover,https://open-racer.com/cities/hannover-germany,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Karting track,Go-karting (indoor/outdoor),4 places to go karting near Hannover (Germany),4 places to go karting near Hannover,,Hannover,OK_HANNOVER,,,https://en.sairpromundo.com/blog/karting-near-hannover-germany,,https://www.google.com/maps/search/?api=1&query=4+places+to+go+karting+near+Hannover+Hannover,https://en.sairpromundo.com/blog/karting-near-hannover-germany,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Axe-throwing venue,Axe throwing,AXE THROWING & BEERS HANOVER - #1 IN EUROPE,WoodCutter Axe Throwing,"Am Steintor 9, 30159 Hannover",Hannover,OK_HANNOVER,4.7,1100.0,https://woodcutter.world/de/axtwerfen-hannover,+49 511 12345678,https://www.google.com/maps/search/?api=1&query=WoodCutter+Axe+Throwing+Hannover,https://woodcutter.world/en/axe-throwing-hanover,Likely bookable online and suitable for groups; verify current pricing and availability.,hoch,2026-02-11
Darts bar,Darts tournament (reserved lane/board),Dart Tournament Hannover | teamgeist.com,Dart Tournament Hannover,,Hannover,OK_HANNOVER,,,https://www.teamgeist.com/en/dart-tournament-hannover/,,https://www.google.com/maps/search/?api=1&query=Dart+Tournament+Hannover+Hannover,https://www.teamgeist.com/en/dart-tournament-hannover/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Darts bar,Darts tournament (reserved lane/board),Schlag Dein Team,Schlag Dein Team,,Hannover,OK_HANNOVER,,,https://www.eventlocations.com/en/venues/schlag-dein-team-hannover,,https://www.google.com/maps/search/?api=1&query=Schlag+Dein+Team+Hannover,https://www.eventlocations.com/en/venues/schlag-dein-team-hannover,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Pool hall,Billiards + table service,Check billiard clubs and book a billiard table on BookGame,Check billiard clubs and book a billiard table on BookGame,,Hannover,OK_HANNOVER,,,https://bookgame.io/en/billiard/city/hannover,,https://www.google.com/maps/search/?api=1&query=Check+billiard+clubs+and+book+a+billiard+table+on+BookGame+Hannover,https://bookgame.io/en/billiard/city/hannover,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Pool hall,Billiards + table service,Billard Lounge Hannover-Langenhagen,Billard Lounge Hannover,,Hannover,OK_HANNOVER,,,https://cuescore.com/billardloungehannover-langenhagen?lang=de,,https://www.google.com/maps/search/?api=1&query=Billard+Lounge+Hannover+Hannover,https://cuescore.com/billardloungehannover-langenhagen?lang=de,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Sports bar,Table football tournament,Table Football Tournament Hannover | teamgeist.com,Table Football Tournament Hannover,,Hannover,OK_HANNOVER,,,https://www.teamgeist.com/en/kicker-tournament-hannover/,,https://www.google.com/maps/search/?api=1&query=Table+Football+Tournament+Hannover+Hannover,https://www.teamgeist.com/en/kicker-tournament-hannover/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Sports bar,Table football tournament,Hannover 96,Hannover 96,,Hannover,OK_HANNOVER,,,https://bundesliga.com/en/2bundesliga/clubs/hannover-96,,https://www.google.com/maps/search/?api=1&query=Hannover+96+Hannover,https://bundesliga.com/en/2bundesliga/clubs/hannover-96,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Sports bar,Table football tournament,ITSF | Home,ITSF,,Hannover,OK_HANNOVER,,,https://www.tablesoccer.org/page/hannover-itsf-masters,,https://www.google.com/maps/search/?api=1&query=ITSF+Hannover,https://www.tablesoccer.org/page/hannover-itsf-masters,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Scavenger hunt operator,Outdoor scavenger hunt (app-based or guided),Hanover: interactive scavenger hunt tour | musement,Hanover: interactive scavenger hunt tour,,Hannover,OK_HANNOVER,,,https://www.musement.com/uk/hannover/hanover-interactive-scavenger-hunt-tour-256895/,,https://www.google.com/maps/search/?api=1&query=Hanover:+interactive+scavenger+hunt+tour+Hannover,https://www.musement.com/uk/hannover/hanover-interactive-scavenger-hunt-tour-256895/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Self-run + print shop,Photo challenge walk + instant print kit,Fotoschule Hannover: Courses and workshops | konfetti,Fotoschule Hannover: Courses and workshops,,Hannover,OK_HANNOVER,,,https://gokonfetti.com/en-us/p/fotoschule-hannover-wogkkx/,,https://www.google.com/maps/search/?api=1&query=Fotoschule+Hannover:+Courses+and+workshops+Hannover,https://gokonfetti.com/en-us/p/fotoschule-hannover-wogkkx/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Cooking school/chef,Cooking class (private),"Kochkurs in Hannover, Braunschweig, Wolfsburg buchen | Genuss-Duett","Kochkurs in Hannover, Braunschweig, Wolfsburg buchen",,Hannover,OK_HANNOVER,,,https://genuss-duett.com/kochkurs/,,"https://www.google.com/maps/search/?api=1&query=Kochkurs+in+Hannover,+Braunschweig,+Wolfsburg+buchen+Hannover",https://genuss-duett.com/kochkurs/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Cooking school/chef,Cooking class (private),Cooking class in Hanover,Cooking class in Hanover,,Hannover,OK_HANNOVER,,,https://gokonfetti.com/en-us/hannover/cooking-class/,,https://www.google.com/maps/search/?api=1&query=Cooking+class+in+Hanover+Hannover,https://gokonfetti.com/en-us/hannover/cooking-class/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Cooking school/chef,Cooking class (private),Private fire and flame â€“ Lacocina Kochschule Hannover & Hamburg,La Cocina Kochschule,"Königstraße 51, 30175 Hannover",Hannover,OK_HANNOVER,5.0,3487.0,http://www.lacocina.de/,+49 511 51565870,https://www.google.com/maps/search/?api=1&query=La+Cocina+Kochschule+Hannover,https://lacocina.de/en/private-summer-special/,Likely bookable online and suitable for groups; verify current pricing and availability.,hoch,2026-02-11
Event space + caterer,BBQ grill & chill (private space + catering),Find Top Catering in Hannover | eventcatering.com,Find Top Catering in Hannover,,Hannover,OK_HANNOVER,,,https://www.eventcatering.com/en/hanover,,https://www.google.com/maps/search/?api=1&query=Find+Top+Catering+in+Hannover+Hannover,https://www.eventcatering.com/en/hanover,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
